Hash,Shader Type,Function,Call Location,"Live""""Registers",###ERROR###,Total Samples,"Execution""""Region",Avg. Warp Latency,Top Stall #1 (Type),Top Stall #1 (% Samples),Top Stall #2 (Type),Top Stall #2 (% Samples),Top Stall #3 (Type),Top Stall #3 (% Samples),Total Instruction Mix,Total SB Producer Samples,"Instructions""""Executed","Thread Instructions""""Executed","Thread Instructions""""Executed Pred On","Active Threads""""Per Warp"
0x00d450d35932a61f,Fragment,main,textworld.frag:23,13,6.313330597556741e-06,6.313330597556741e-06,--,495.39789153661053,BRANCH,1,SHRTSB,MISC,12,0,0,0,0,0
0x8b0de88c92f383e9,N/A,isVisibleIn,cull.comp:190,21,6.313330597556741e-06,6.313330597556741e-06,--,0,SELECT,0.5,WAIT,MISC,24,0,0,0,0,0
0x01ba3b3352b344bb,N/A,main,tonemap.vert:9,8,3.1566652987783707e-06,3.1566652987783707e-06,--,0,NOINST,1,SHRTSB,MISC,11,0,0,0,0,0
Multiple shaders...,N/A,meshletOccluded,flat.task:120,16,3.1566652987783707e-06,3.1566652987783707e-06,--,0,WAIT,1,SHRTSB,MISC,72,0,0,0,0,0
0xeeb2459f3e852791,N/A,rotationMatrix,update.comp:59,36,0,0,--,0,SHRTSB,0,MISC,DRAIN,46,0,0,0,0,0
0xeeb2459f3e852791,N/A,rotZ,update.comp:74,32,0,0,--,0,SHRTSB,0,MISC,DRAIN,4,0,0,0,0,0
0xeeb2459f3e852791,N/A,rotX,update.comp:75,31,0,0,--,0,SHRTSB,0,MISC,DRAIN,2,0,0,0,0,0
0xc6c03386bd2f9988,N/A,lookAtRH,shadowsetup.comp:41,20,0,0,--,0,SHRTSB,0,MISC,DRAIN,93,0,0,0,0,0
0x8b0de88c92f383e9,N/A,lodSelect,cull.comp:243,19,0,0,--,0,SHRTSB,0,MISC,DRAIN,5,0,0,0,0,0
0x8b0de88c92f383e9,N/A,isOccluded,cull.comp:265,27,0,0,--,0,SHRTSB,0,MISC,DRAIN,36,0,0,0,0,0
0xc6c03386bd2f9988,N/A,perspectiveRH_ZO,shadowsetup.comp:69,21,0,0,--,0,SHRTSB,0,MISC,DRAIN,13,0,0,0,0,0
0xc6c03386bd2f9988,N/A,cubeFaceBasis,shadowsetup.comp:83,12,0,0,--,0,SHRTSB,0,MISC,DRAIN,5,,0,0,0,0
0xc6c03386bd2f9988,N/A,extractPlanes,shadowsetup.comp:97,44,0,0,--,0,SHRTSB,0,MISC,DRAIN,62,0,0,0,0,0
0x8ee09876f1d0e45a,N/A,panel_local,textworld.vert:30,16,0,0,--,0,SHRTSB,0,MISC,DRAIN,8,0,0,0,0,0
