#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
,textcoverage.glsl,,,,,,,,,
115,i++;,,,,,,,,,0,,,
116,"area += curve_area(p0.x, p0.y, p1.x, p1.y, p2.x, p2.y, wdim.x, wdim.y);",422,422,Branch Resolving,245,Wait,80,No Instructions,55,71.91923990498812,2,,22
117,p0 = p2;,,,,,,,,,0,,,
118,},,,,,,,,,0,,,
119,return area / (wdim.x * wdim.y);,107,107,Wait,75,Selected,18,Short Scoreboard,12,14,3,12,13
120,},,,,,,,,,0,,,
121,,,,,,,,,,0,,,
122,// Text-space rect corners (relative to instance origin) -> em-space bbox under the,,,,,,,,,0,,,
123,"// instance's pixel->em transform, the footprint parallelogram's bounds.",,,,,,,,,0,,,
124,"void em_box(vec4 inv, vec2 rMin, vec2 rMax, out vec2 lo, out vec2 hi)",,,,,,,,,0,,,
125,{,,,,,,,,,0,,,
126,"vec2 c10 = vec2(rMax.x, rMin.y);",,,,,,,,,0,,,
127,"vec2 c01 = vec2(rMin.x, rMax.y);",,,,,,,,,0,,,
128,"vec2 e00 = vec2(dot(inv.xy, rMin), dot(inv.zw, rMin));",9214,9214,Long Scoreboard,7050,Selected,997,Not Selected,622,1831.728782287823,4,,23
129,"vec2 e11 = vec2(dot(inv.xy, rMax), dot(inv.zw, rMax));",995,995,Selected,990,Dispatch Stall,5,,,121.78391959798995,4,,24
130,"vec2 e10 = vec2(dot(inv.xy, c10), dot(inv.zw, c10));",450,450,Selected,444,Dispatch Stall,6,,,70.65333333333334,2,,24
131,"vec2 e01 = vec2(dot(inv.xy, c01), dot(inv.zw, c01));",521,521,Selected,518,Dispatch Stall,3,,,71.5278310940499,2,,24
132,"lo = min(min(e00, e11), min(e10, e01));",5173,5173,Selected,1839,Wait,1575,Not Selected,1026,608.1819060506476,7,,24
133,"hi = max(max(e00, e11), max(e10, e01));",27020,27020,Not Selected,13357,Math Pipe Throttle,9196,Wait,2362,3075.761714412614,8,,23
134,},,,,,,,,,0,,,
135,,,,,,,,,,0,,,
136,"// Premultiplied contribution of one instance over the text-space window [rMin, rMax]:",,,,,,,,,0,,,
137,// per-glyph coverage clamp times instance color.,,,,,,,,,0,,,
138,"vec4 shade_window(uint idx, vec2 rMin, vec2 rMax)",,,,,,,,,0,,,
139,{,,,,,,,,,0,,,
140,GlyphInstance gi = instances[idx];,111137,111137,Not Selected,54050,Math Pipe Throttle,35672,Long Scoreboard,9296,15119.485603224877,27,22216,22
141,GlyphEntry g = glyphs[gi.glyphID];,32460,32460,Not Selected,12255,Wait,7422,Math Pipe Throttle,7356,5252.157424522489,16,5481,23
142,if (g.curveCount == 0u),30424,30424,Not Selected,12298,Math Pipe Throttle,8880,Long Scoreboard,5337,5150.690760280051,4,,18
143,return vec4(0.0);,,,,,,,,,0,,,
144,"vec2 lo, hi;",,,,,,,,,0,,,
145,"em_box(gi.inv, rMin - gi.origin, rMax - gi.origin, lo, hi);",4230,4230,Long Scoreboard,2935,Selected,966,Not Selected,300,603.5721040189126,4,,24
146,if (lo.x >= g.bboxMax.x || hi.x <= g.bboxMin.x || lo.y >= g.bboxMax.y || hi.y <= g.bboxMin.y),19051,19051,Not Selected,8620,Math Pipe Throttle,6169,Wait,2818,3075.8850393700786,5,,23
147,return vec4(0.0);,,,,,,,,,0,,,
148,"float cov = clamp(window_sum(g, lo, hi - lo), 0.0, 1.0);",3,3,Selected,3,,,,,0,2,,18
149,return gi.color * cov;,1726,1726,Branch Resolving,738,No Instructions,711,Not Selected,265,207.15469293163383,5,,11
150,},,,,,,,,,0,,,
151,,,,,,,,,,0,,,
,textworld.frag,,,,,,,,,
1,#version 450,,,,,,,,,0,,,
2,#extension GL_GOOGLE_include_directive : require,,,,,,,,,0,,,
3,,,,,,,,,,0,,,
4,// World-space Scanline Sweeper lane: per-fragment analytic coverage over the shared glyph,,,,,,,,,0,,,
5,// buffers. The em-space window is the fragment's panel-space footprint from screen,,,,,,,,,0,,,
6,"// derivatives. Output is premultiplied, blended src-over onto the HDR target.",,,,,,,,,0,,,
7,,,,,,,,,,0,,,
8,"#include ""textcoverage.glsl""",,,,,,,,,0,,,
9,,,,,,,,,,0,,,
