#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
,textcoverage.glsl,,,,,,,,,
564,%165 = OpExtInst %void %1 DebugLocalVariable %166 %100 %33 %uint_124 %uint_0 %155 %uint_4 %uint_3,,,,,,,,0,,,
565,%168 = OpExtInst %void %1 DebugLocalVariable %169 %100 %33 %uint_124 %uint_0 %155 %uint_4 %uint_4,,,,,,,,0,,,
566,%171 = OpExtInst %void %1 DebugLocalVariable %172 %100 %33 %uint_124 %uint_0 %155 %uint_4 %uint_5,,,,,,,,0,,,
567,%_ptr_Function_uint = OpTypePointer Function %uint,,,,,,,,0,,,
568,%175 = OpExtInst %void %1 DebugTypePointer %10 %uint_7 %uint_0,,,,,,,,0,,,
569,%176 = OpTypeFunction %v4float %_ptr_Function_uint %_ptr_Function_v2float %_ptr_Function_v2float,,,,,,,,0,,,
570,%177 = OpExtInst %void %1 DebugTypeFunction %uint_3 %142 %10 %100 %100,,,,,,,,0,,,
571,%uint_138 = OpConstant %uint 138,,,,,,,,0,,,
572,%184 = OpExtInst %void %1 DebugFunction %183 %177 %33 %uint_138 %uint_0 %35 %183 %uint_3 %uint_138,,,,,,,,0,,,
573,%186 = OpExtInst %void %1 DebugLocalVariable %187 %10 %33 %uint_138 %uint_0 %184 %uint_4 %uint_1,,,,,,,,0,,,
574,%191 = OpExtInst %void %1 DebugLocalVariable %163 %100 %33 %uint_138 %uint_0 %184 %uint_4 %uint_2,,,,,,,,0,,,
575,%193 = OpExtInst %void %1 DebugLocalVariable %166 %100 %33 %uint_138 %uint_0 %184 %uint_4 %uint_3,,,,,,,,0,,,
576,%uint_19 = OpConstant %uint 19,,,,,,,,0,,,
577,%196 = OpExtInst %void %1 DebugFunction %195 %7 %38 %uint_19 %uint_0 %35 %195 %uint_3 %uint_19,,,,,,,,0,,,
578,%uint_34 = OpConstant %uint 34,,,,,,,,0,,,
579,%200 = OpExtInst %void %1 DebugLocalVariable %201 %19 %33 %uint_34 %uint_0 %32 %uint_4,,,,,,,,0,,,
580,%uint_35 = OpConstant %uint 35,,,,,,,,0,,,
581,%209 = OpExtInst %void %1 DebugLocalVariable %210 %19 %33 %uint_35 %uint_0 %32 %uint_4,,,,,,,,0,,,
582,%float_2 = OpConstant %float 2,,,,,,,,0,,,
583,%uint_36 = OpConstant %uint 36,,,,,,,,0,,,
584,%222 = OpExtInst %void %1 DebugLocalVariable %223 %19 %33 %uint_36 %uint_0 %32 %uint_4,,,,,,,,0,,,
585,%uint_37 = OpConstant %uint 37,,,,,,,,0,,,
586,%232 = OpExtInst %void %1 DebugLocalVariable %233 %19 %33 %uint_37 %uint_0 %32 %uint_4,,,,,,,,0,,,
587,%uint_38 = OpConstant %uint 38,,,,,,,,0,,,
588,%241 = OpExtInst %void %1 DebugLocalVariable %242 %19 %33 %uint_38 %uint_0 %32 %uint_4,,,,,,,,0,,,
589,%float_4 = OpConstant %float 4,,,,,,,,0,,,
590,%float_0 = OpConstant %float 0,,,,,,,,0,,,
591,%uint_39 = OpConstant %uint 39,,,,,,,,0,,,
592,%258 = OpExtInst %void %1 DebugLocalVariable %259 %19 %33 %uint_39 %uint_0 %32 %uint_4,,,,,,,,0,,,
593,%bool = OpTypeBool,,,,,,,,0,,,
594,%268 = OpExtInst %void %1 DebugTypeBasic %267 %uint_32 %uint_2 %uint_0,,,,,,,,0,,,
595,%uint_40 = OpConstant %uint 40,,,,,,,,0,,,
596,%uint_41 = OpConstant %uint 41,,,,,,,,0,,,
597,%uint_42 = OpConstant %uint 42,,,,,,,,0,,,
598,%float_1 = OpConstant %float 1,,,,,,,,0,,,
599,%uint_43 = OpConstant %uint 43,,,,,,,,0,,,
600,%uint_50 = OpConstant %uint 50,,,,,,,,0,,,
601,%uint_51 = OpConstant %uint 51,,,,,,,,0,,,
602,%uint_52 = OpConstant %uint 52,,,,,,,,0,,,
603,%uint_53 = OpConstant %uint 53,,,,,,,,0,,,
604,%uint_55 = OpConstant %uint 55,,,,,,,,0,,,
605,%uint_57 = OpConstant %uint 57,,,,,,,,0,,,
606,%uint_17 = OpConstant %uint 17,,,,,,,,0,,,
607,%370 = OpExtInst %void %1 DebugLexicalBlock %33 %uint_57 %uint_17 %69,,,,,,,,0,,,
608,%374 = OpExtInst %void %1 DebugLocalVariable %223 %19 %33 %uint_57 %uint_0 %370 %uint_4,,,,,,,,0,,,
609,%uint_58 = OpConstant %uint 58,,,,,,,,0,,,
610,%uint_61 = OpConstant %uint 61,,,,,,,,0,,,
611,%396 = OpExtInst %void %1 DebugLocalVariable %397 %19 %33 %uint_61 %uint_0 %69 %uint_4,,,,,,,,0,,,
612,%uint_62 = OpConstant %uint 62,,,,,,,,0,,,
613,%411 = OpExtInst %void %1 DebugLocalVariable %412 %19 %33 %uint_62 %uint_0 %69 %uint_4,,,,,,,,0,,,
614,%uint_63 = OpConstant %uint 63,,,,,,,,0,,,
615,%uint_65 = OpConstant %uint 65,,,,,,,,0,,,
616,%432 = OpExtInst %void %1 DebugLexicalBlock %33 %uint_65 %uint_19 %69,,,,,,,,0,,,
617,%435 = OpExtInst %void %1 DebugLocalVariable %436 %19 %33 %uint_65 %uint_0 %432 %uint_4,,,,,,,,0,,,
618,%uint_66 = OpConstant %uint 66,,,,,,,,0,,,
619,%uint_67 = OpConstant %uint 67,,,,,,,,0,,,
620,%uint_69 = OpConstant %uint 69,,,,,,,,0,,,
621,%448 = OpExtInst %void %1 DebugLocalVariable %449 %19 %33 %uint_69 %uint_0 %69 %uint_4,,,,,,,,0,,,
622,%uint_70 = OpConstant %uint 70,,,,,,,,0,,,
623,%466 = OpExtInst %void %1 DebugLocalVariable %467 %19 %33 %uint_70 %uint_0 %69 %uint_4,,,,,,,,0,,,
624,%uint_71 = OpConstant %uint 71,,,,,,,,0,,,
625,%uint_73 = OpConstant %uint 73,,,,,,,,0,,,
626,%490 = OpExtInst %void %1 DebugLexicalBlock %33 %uint_73 %uint_19 %69,,,,,,,,0,,,
627,%493 = OpExtInst %void %1 DebugLocalVariable %436 %19 %33 %uint_73 %uint_0 %490 %uint_4,,,,,,,,0,,,
628,%uint_74 = OpConstant %uint 74,,,,,,,,0,,,
629,%uint_75 = OpConstant %uint 75,,,,,,,,0,,,
630,%uint_78 = OpConstant %uint 78,,,,,,,,0,,,
631,%505 = OpExtInst %void %1 DebugLocalVariable %506 %19 %33 %uint_78 %uint_0 %69 %uint_4,,,,,,,,0,,,
632,%518 = OpExtInst %void %1 DebugLocalVariable %519 %19 %33 %uint_78 %uint_0 %69 %uint_4,,,,,,,,0,,,
633,%uint_79 = OpConstant %uint 79,,,,,,,,0,,,
634,%526 = OpExtInst %void %1 DebugLocalVariable %527 %19 %33 %uint_79 %uint_0 %69 %uint_4,,,,,,,,0,,,
635,%538 = OpExtInst %void %1 DebugLocalVariable %539 %19 %33 %uint_79 %uint_0 %69 %uint_4,,,,,,,,0,,,
636,%uint_80 = OpConstant %uint 80,,,,,,,,0,,,
637,%546 = OpExtInst %void %1 DebugLocalVariable %547 %19 %33 %uint_80 %uint_0 %69 %uint_4,,,,,,,,0,,,
638,%uint_81 = OpConstant %uint 81,,,,,,,,0,,,
639,%563 = OpExtInst %void %1 DebugLocalVariable %564 %19 %33 %uint_81 %uint_0 %69 %uint_4,,,,,,,,0,,,
640,%uint_82 = OpConstant %uint 82,,,,,,,,0,,,
641,%580 = OpExtInst %void %1 DebugLocalVariable %581 %19 %33 %uint_82 %uint_0 %69 %uint_4,,,,,,,,0,,,
642,%_arr_float_uint_3 = OpTypeArray %float %uint_3,,,,,,,,0,,,
643,%586 = OpExtInst %void %1 DebugTypeArray %19 %uint_3,,,,,,,,0,,,
644,%_ptr_Function__arr_float_uint_3 = OpTypePointer Function %_arr_float_uint_3,,,,,,,,0,,,
645,%588 = OpExtInst %void %1 DebugTypePointer %586 %uint_7 %uint_0,,,,,,,,0,,,
646,%uint_83 = OpConstant %uint 83,,,,,,,,0,,,
647,%590 = OpExtInst %void %1 DebugLocalVariable %591 %586 %33 %uint_83 %uint_0 %69 %uint_4,,,,,,,,0,,,
648,%int = OpTypeInt 32 1,,,,,,,,0,,,
649,%601 = OpExtInst %void %1 DebugTypeBasic %600 %uint_32 %uint_4 %uint_0,,,,,,,,0,,,
650,%_ptr_Function_int = OpTypePointer Function %int,,,,,,,,0,,,
651,%603 = OpExtInst %void %1 DebugTypePointer %601 %uint_7 %uint_0,,,,,,,,0,,,
652,%uint_84 = OpConstant %uint 84,,,,,,,,0,,,
653,%605 = OpExtInst %void %1 DebugLocalVariable %606 %601 %33 %uint_84 %uint_0 %69 %uint_4,,,,,,,,0,,,
654,%int_0 = OpConstant %int 0,,,,,,,,0,,,
655,%int_3 = OpConstant %int 3,,,,,,,,0,,,
656,%uint_86 = OpConstant %uint 86,,,,,,,,0,,,
657,%624 = OpExtInst %void %1 DebugLocalVariable %625 %19 %33 %uint_86 %uint_0 %69 %uint_4,,,,,,,,0,,,
658,%uint_87 = OpConstant %uint 87,,,,,,,,0,,,
659,%634 = OpExtInst %void %1 DebugLocalVariable %635 %19 %33 %uint_87 %uint_0 %69 %uint_4,,,,,,,,0,,,
660,%uint_88 = OpConstant %uint 88,,,,,,,,0,,,
661,%651 = OpExtInst %void %1 DebugLocalVariable %652 %19 %33 %uint_88 %uint_0 %69 %uint_4,,,,,,,,0,,,
662,%uint_89 = OpConstant %uint 89,,,,,,,,0,,,
663,%float_0_5 = OpConstant %float 0.5,,,,,,,,0,,,
664,%uint_90 = OpConstant %uint 90,,,,,,,,0,,,
665,%uint_91 = OpConstant %uint 91,,,,,,,,0,,,
666,%int_1 = OpConstant %int 1,,,,,,,,0,,,
667,%uint_93 = OpConstant %uint 93,,,,,,,,0,,,
668,%uint_94 = OpConstant %uint 94,,,,,,,,0,,,
669,%uint_100 = OpConstant %uint 100,,,,,,,,0,,,
670,%705 = OpExtInst %void %1 DebugLocalVariable %706 %10 %33 %uint_100 %uint_0 %129 %uint_4,,,,,,,,0,,,
671,%uint_101 = OpConstant %uint 101,,,,,,,,0,,,
672,%713 = OpExtInst %void %1 DebugLocalVariable %714 %100 %33 %uint_101 %uint_0 %129 %uint_4,,,,,,,,0,,,
673,%_runtimearr_uint = OpTypeRuntimeArray %uint,,,,,,,,0,,,
674,%719 = OpExtInst %void %1 DebugTypeArray %10 %uint_0,,,,,,,,0,,,
675,%CurvePoints = OpTypeStruct %_runtimearr_uint,,,,,,,,0,,,
676,%uint_24 = OpConstant %uint 24,,,,,,,,0,,,
677,%721 = OpExtInst %void %1 DebugTypeMember %722 %719 %33 %uint_24 %uint_73 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
678,%724 = OpExtInst %void %1 DebugTypeComposite %725 %uint_1 %33 %uint_101 %uint_0 %35 %725 %uint_0 %uint_3 %721,,,,,,,,0,,,
679,%_ptr_StorageBuffer_CurvePoints = OpTypePointer StorageBuffer %CurvePoints,,,,,,,,0,,,
680,%727 = OpExtInst %void %1 DebugTypePointer %724 %uint_12 %uint_0,,,,,,,,0,,,
681,%_ = OpVariable %_ptr_StorageBuffer_CurvePoints StorageBuffer,,,,,,,,0,,,
682,%729 = OpExtInst %void %1 DebugGlobalVariable %730 %724 %33 %uint_101 %uint_0 %35 %730 %_ %uint_8,,,,,,,,0,,,
683,%_ptr_StorageBuffer_uint = OpTypePointer StorageBuffer %uint,,,,,,,,0,,,
684,%733 = OpExtInst %void %1 DebugTypePointer %10 %uint_12 %uint_0,,,,,,,,0,,,
685,%uint_102 = OpConstant %uint 102,,,,,,,,0,,,
686,%uint_103 = OpConstant %uint 103,,,,,,,,0,,,
687,%744 = OpExtInst %void %1 DebugLocalVariable %581 %19 %33 %uint_103 %uint_0 %129 %uint_4,,,,,,,,0,,,
688,%uint_104 = OpConstant %uint 104,,,,,,,,0,,,
689,%749 = OpExtInst %void %1 DebugLocalVariable %233 %10 %33 %uint_104 %uint_0 %129 %uint_4,,,,,,,,0,,,
690,%uint_106 = OpConstant %uint 106,,,,,,,,0,,,
691,%uint_2080406528 = OpConstant %uint 2080406528,,,,,,,,0,,,
692,%uint_108 = OpConstant %uint 108,,,,,,,,0,,,
693,%uint_14 = OpConstant %uint 14,,,,,,,,0,,,
694,%776 = OpExtInst %void %1 DebugLexicalBlock %33 %uint_108 %uint_14 %129,,,,,,,,0,,,
695,%uint_109 = OpConstant %uint 109,,,,,,,,0,,,
696,%uint_110 = OpConstant %uint 110,,,,,,,,0,,,
697,%uint_112 = OpConstant %uint 112,,,,,,,,0,,,
698,%796 = OpExtInst %void %1 DebugLocalVariable %797 %100 %33 %uint_112 %uint_0 %129 %uint_4,,,,,,,,0,,,
699,%uint_113 = OpConstant %uint 113,,,,,,,,0,,,
700,%uint_114 = OpConstant %uint 114,,,,,,,,0,,,
701,%813 = OpExtInst %void %1 DebugLocalVariable %814 %100 %33 %uint_114 %uint_0 %129 %uint_4,,,,,,,,0,,,
702,%uint_115 = OpConstant %uint 115,,,,,,,,0,,,
703,%uint_116 = OpConstant %uint 116,,,,,,,,0,,,
704,%uint_117 = OpConstant %uint 117,,,,,,,,0,,,
705,%uint_119 = OpConstant %uint 119,,,,,,,,0,,,
706,%uint_120 = OpConstant %uint 120,,,,,,,,0,,,
707,%uint_126 = OpConstant %uint 126,,,,,,,,0,,,
708,%881 = OpExtInst %void %1 DebugLocalVariable %882 %100 %33 %uint_126 %uint_0 %155 %uint_4,,,,,,,,0,,,
709,%uint_127 = OpConstant %uint 127,,,,,,,,0,,,
710,%892 = OpExtInst %void %1 DebugLocalVariable %893 %100 %33 %uint_127 %uint_0 %155 %uint_4,,,,,,,,0,,,
711,%uint_128 = OpConstant %uint 128,,,,,,,,0,,,
712,%903 = OpExtInst %void %1 DebugLocalVariable %904 %100 %33 %uint_128 %uint_0 %155 %uint_4,,,,,,,,0,,,
713,%uint_129 = OpConstant %uint 129,,,,,,,,0,,,
714,%918 = OpExtInst %void %1 DebugLocalVariable %919 %100 %33 %uint_129 %uint_0 %155 %uint_4,,,,,,,,0,,,
715,%uint_130 = OpConstant %uint 130,,,,,,,,0,,,
716,%933 = OpExtInst %void %1 DebugLocalVariable %934 %100 %33 %uint_130 %uint_0 %155 %uint_4,,,,,,,,0,,,
717,%uint_131 = OpConstant %uint 131,,,,,,,,0,,,
718,%948 = OpExtInst %void %1 DebugLocalVariable %949 %100 %33 %uint_131 %uint_0 %155 %uint_4,,,,,,,,0,,,
719,%uint_132 = OpConstant %uint 132,,,,,,,,0,,,
720,%uint_133 = OpConstant %uint 133,,,,,,,,0,,,
721,%uint_134 = OpConstant %uint 134,,,,,,,,0,,,
722,%GlyphInstance = OpTypeStruct %v4float %v4float %v2float %uint %uint,,,,,,,,0,,,
723,%uint_18 = OpConstant %uint 18,,,,,,,,0,,,
724,%984 = OpExtInst %void %1 DebugTypeMember %985 %142 %33 %uint_18 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
725,%987 = OpExtInst %void %1 DebugTypeMember %985 %142 %33 %uint_18 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
726,%988 = OpExtInst %void %1 DebugTypeMember %989 %100 %33 %uint_19 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
727,%uint_21 = OpConstant %uint 21,,,,,,,,0,,,
728,%990 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_21 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
729,%992 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_21 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
730,%uint_140 = OpConstant %uint 140,,,,,,,,0,,,
731,%993 = OpExtInst %void %1 DebugTypeComposite %994 %uint_1 %33 %uint_140 %uint_0 %35 %994 %uint_0 %uint_3 %984 %987 %988 %990 %992,,,,,,,,0,,,
732,%_ptr_Function_GlyphInstance = OpTypePointer Function %GlyphInstance,,,,,,,,0,,,
733,%997 = OpExtInst %void %1 DebugTypePointer %993 %uint_7 %uint_0,,,,,,,,0,,,
734,%999 = OpExtInst %void %1 DebugLocalVariable %1000 %993 %33 %uint_140 %uint_0 %184 %uint_4,,,,,,,,0,,,
735,%GlyphInstance_0 = OpTypeStruct %v4float %v4float %v2float %uint %uint,,,,,,,,0,,,
736,%1004 = OpExtInst %void %1 DebugTypeMember %985 %142 %33 %uint_18 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
737,%1005 = OpExtInst %void %1 DebugTypeMember %985 %142 %33 %uint_18 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
738,%1006 = OpExtInst %void %1 DebugTypeMember %989 %100 %33 %uint_19 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
739,%1007 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_21 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
740,%1008 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_21 %uint_10 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
741,%1009 = OpExtInst %void %1 DebugTypeComposite %994 %uint_1 %33 %uint_140 %uint_0 %35 %994 %uint_0 %uint_3 %1004 %1005 %1006 %1007 %1008,,,,,,,,0,,,
742,%_runtimearr_GlyphInstance_0 = OpTypeRuntimeArray %GlyphInstance_0,,,,,,,,0,,,
743,%1011 = OpExtInst %void %1 DebugTypeArray %1009 %uint_0,,,,,,,,0,,,
744,%FrameData = OpTypeStruct %_runtimearr_GlyphInstance_0,,,,,,,,0,,,
745,%uint_26 = OpConstant %uint 26,,,,,,,,0,,,
746,%1013 = OpExtInst %void %1 DebugTypeMember %1014 %1011 %33 %uint_26 %uint_80 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
747,%1016 = OpExtInst %void %1 DebugTypeComposite %1017 %uint_1 %33 %uint_140 %uint_0 %35 %1017 %uint_0 %uint_3 %1013,,,,,,,,0,,,
748,%_ptr_StorageBuffer_FrameData = OpTypePointer StorageBuffer %FrameData,,,,,,,,0,,,
749,%1019 = OpExtInst %void %1 DebugTypePointer %1016 %uint_12 %uint_0,,,,,,,,0,,,
750,%__0 = OpVariable %_ptr_StorageBuffer_FrameData StorageBuffer,,,,,,,,0,,,
751,%1021 = OpExtInst %void %1 DebugGlobalVariable %730 %1016 %33 %uint_140 %uint_0 %35 %730 %__0 %uint_8,,,,,,,,0,,,
752,%_ptr_StorageBuffer_GlyphInstance_0 = OpTypePointer StorageBuffer %GlyphInstance_0,,,,,,,,0,,,
753,%1024 = OpExtInst %void %1 DebugTypePointer %1009 %uint_12 %uint_0,,,,,,,,0,,,
754,%uint_141 = OpConstant %uint 141,,,,,,,,0,,,
755,%1029 = OpExtInst %void %1 DebugLocalVariable %131 %114 %33 %uint_141 %uint_0 %184 %uint_4,,,,,,,,0,,,
756,%GlyphEntry_0 = OpTypeStruct %uint %uint %v2float %v2float %float %uint,,,,,,,,0,,,
757,%1034 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_12 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
758,%1035 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_12 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
759,%1036 = OpExtInst %void %1 DebugTypeMember %108 %100 %33 %uint_10 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
760,%1037 = OpExtInst %void %1 DebugTypeMember %108 %100 %33 %uint_10 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
761,%1038 = OpExtInst %void %1 DebugTypeMember %112 %19 %33 %uint_11 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
762,%1039 = OpExtInst %void %1 DebugTypeMember %103 %10 %33 %uint_12 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
763,%1040 = OpExtInst %void %1 DebugTypeComposite %115 %uint_1 %33 %uint_141 %uint_0 %35 %115 %uint_0 %uint_3 %1034 %1035 %1036 %1037 %1038 %1039,,,,,,,,0,,,
764,%_runtimearr_GlyphEntry_0 = OpTypeRuntimeArray %GlyphEntry_0,,,,,,,,0,,,
765,%1042 = OpExtInst %void %1 DebugTypeArray %1040 %uint_0,,,,,,,,0,,,
766,%GlyphDirectory = OpTypeStruct %_runtimearr_GlyphEntry_0,,,,,,,,0,,,
767,%uint_25 = OpConstant %uint 25,,,,,,,,0,,,
768,%1044 = OpExtInst %void %1 DebugTypeMember %1045 %1042 %33 %uint_25 %uint_82 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
769,%1047 = OpExtInst %void %1 DebugTypeComposite %1048 %uint_1 %33 %uint_141 %uint_0 %35 %1048 %uint_0 %uint_3 %1044,,,,,,,,0,,,
770,%_ptr_StorageBuffer_GlyphDirectory = OpTypePointer StorageBuffer %GlyphDirectory,,,,,,,,0,,,
771,%1050 = OpExtInst %void %1 DebugTypePointer %1047 %uint_12 %uint_0,,,,,,,,0,,,
772,%__1 = OpVariable %_ptr_StorageBuffer_GlyphDirectory StorageBuffer,,,,,,,,0,,,
773,%1052 = OpExtInst %void %1 DebugGlobalVariable %730 %1047 %33 %uint_141 %uint_0 %35 %730 %__1 %uint_8,,,,,,,,0,,,
774,%_ptr_StorageBuffer_GlyphEntry_0 = OpTypePointer StorageBuffer %GlyphEntry_0,,,,,,,,0,,,
775,%1056 = OpExtInst %void %1 DebugTypePointer %1040 %uint_12 %uint_0,,,,,,,,0,,,
776,%uint_142 = OpConstant %uint 142,,,,,,,,0,,,
777,%1067 = OpConstantComposite %v4float %float_0 %float_0 %float_0 %float_0,,,,,,,,0,,,
778,%uint_143 = OpConstant %uint 143,,,,,,,,0,,,
779,%uint_145 = OpConstant %uint 145,,,,,,,,0,,,
780,%int_2 = OpConstant %int 2,,,,,,,,0,,,
781,%1085 = OpExtInst %void %1 DebugLocalVariable %169 %100 %33 %uint_145 %uint_0 %184 %uint_4,,,,,,,,0,,,
782,%1088 = OpExtInst %void %1 DebugLocalVariable %172 %100 %33 %uint_145 %uint_0 %184 %uint_4,,,,,,,,0,,,
783,%uint_146 = OpConstant %uint 146,,,,,,,,0,,,
784,%uint_147 = OpConstant %uint 147,,,,,,,,0,,,
785,%uint_148 = OpConstant %uint 148,,,,,,,,0,,,
786,%1153 = OpExtInst %void %1 DebugLocalVariable %1154 %19 %33 %uint_148 %uint_0 %184 %uint_4,,,,,,,,0,,,
787,%uint_149 = OpConstant %uint 149,,,,,,,,0,,,
788,%uint_150 = OpConstant %uint 150,,,,,,,,0,,,
789,%1184 = OpExtInst %void %1 DebugLocalVariable %1185 %100 %38 %uint_21 %uint_0 %196 %uint_4,,,,,,,,0,,,
790,%_ptr_Input_v2float = OpTypePointer Input %v2float,,,,,,,,0,,,
791,%1189 = OpExtInst %void %1 DebugTypePointer %100 %uint_1 %uint_0,,,,,,,,0,,,
792,%panelPos = OpVariable %_ptr_Input_v2float Input,,,,,,,,0,,,
793,%1191 = OpExtInst %void %1 DebugGlobalVariable %1192 %100 %38 %uint_21 %uint_0 %35 %1192 %panelPos %uint_8,,,,,,,,0,,,
794,%uint_22 = OpConstant %uint 22,,,,,,,,0,,,
795,%1201 = OpExtInst %void %1 DebugLocalVariable %163 %100 %38 %uint_22 %uint_0 %196 %uint_4,,,,,,,,0,,,
796,%uint_23 = OpConstant %uint 23,,,,,,,,0,,,
797,%1210 = OpExtInst %void %1 DebugLocalVariable %166 %100 %38 %uint_23 %uint_0 %196 %uint_4,,,,,,,,0,,,
798,%1219 = OpExtInst %void %1 DebugLocalVariable %1220 %142 %38 %uint_24 %uint_0 %196 %uint_4,,,,,,,,0,,,
799,%1224 = OpExtInst %void %1 DebugLocalVariable %706 %10 %38 %uint_25 %uint_0 %196 %uint_4,,,,,,,,0,,,
800,%mat4v4float = OpTypeMatrix %v4float 4,,,,,,,,0,,,
801,%true = OpConstantTrue %bool,,,,,,,,0,,,
802,%1238 = OpExtInst %void %1 DebugTypeMatrix %142 %uint_4 %true,,,,,,,,0,,,
803,%v2uint = OpTypeVector %uint 2,,,,,,,,0,,,
804,%1241 = OpExtInst %void %1 DebugTypeVector %10 %uint_2,,,,,,,,0,,,
805,%TextWorldPush = OpTypeStruct %mat4v4float %v4float %v2uint,,,,,,,,0,,,
806,%1243 = OpExtInst %void %1 DebugTypeMember %1244 %1238 %38 %uint_11 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
807,%1245 = OpExtInst %void %1 DebugTypeMember %1246 %142 %38 %uint_12 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
808,%uint_13 = OpConstant %uint 13,,,,,,,,0,,,
809,%1247 = OpExtInst %void %1 DebugTypeMember %1248 %1241 %38 %uint_13 %uint_11 %uint_0 %uint_0 %uint_3,,,,,,,,0,,,
810,%1250 = OpExtInst %void %1 DebugTypeComposite %1251 %uint_1 %38 %uint_25 %uint_0 %35 %1251 %uint_0 %uint_3 %1243 %1245 %1247,,,,,,,,0,,,
811,%_ptr_PushConstant_TextWorldPush = OpTypePointer PushConstant %TextWorldPush,,,,,,,,0,,,
812,%uint_9 = OpConstant %uint 9,,,,,,,,0,,,
813,%1254 = OpExtInst %void %1 DebugTypePointer %1250 %uint_9 %uint_0,,,,,,,,0,,,
814,%pc = OpVariable %_ptr_PushConstant_TextWorldPush PushConstant,,,,,,,,0,,,
815,%1256 = OpExtInst %void %1 DebugGlobalVariable %1257 %1250 %38 %uint_25 %uint_0 %35 %1257 %pc %uint_8,,,,,,,,0,,,
816,%_ptr_PushConstant_uint = OpTypePointer PushConstant %uint,,,,,,,,0,,,
817,%1259 = OpExtInst %void %1 DebugTypePointer %10 %uint_9 %uint_0,,,,,,,,0,,,
818,%uint_27 = OpConstant %uint 27,,,,,,,,0,,,
819,%1264 = OpExtInst %void %1 DebugLocalVariable %1265 %142 %38 %uint_27 %uint_0 %196 %uint_4,,,,,,,,0,,,
820,%uint_28 = OpConstant %uint 28,,,,,,,,0,,,
821,%_ptr_Output_v4float = OpTypePointer Output %v4float,,,,,,,,0,,,
822,%1294 = OpExtInst %void %1 DebugTypePointer %142 %uint_3 %uint_0,,,,,,,,0,,,
823,%outColor = OpVariable %_ptr_Output_v4float Output,,,,,,,,0,,,
824,%uint_30 = OpConstant %uint 30,,,,,,,,0,,,
825,%1296 = OpExtInst %void %1 DebugGlobalVariable %1297 %142 %38 %uint_30 %uint_0 %35 %1297 %outColor %uint_8,,,,,,,,0,,,
826,%uint_31 = OpConstant %uint 31,,,,,,,,0,,,
827,%main = OpFunction %void None %6,,,,,,,,0,,,
828,%16 = OpLabel,,,,,,,,0,,,
829,%fw = OpVariable %_ptr_Function_v2float Function,,,,,,,,0,,,
830,%rMin_1 = OpVariable %_ptr_Function_v2float Function,,,,,,,,0,,,
831,%rMax_1 = OpVariable %_ptr_Function_v2float Function,,,,,,,,0,,,
832,%acc = OpVariable %_ptr_Function_v4float Function,,,,,,,,0,,,
833,%i_0 = OpVariable %_ptr_Function_uint Function,,,,,,,,0,,,
834,%src = OpVariable %_ptr_Function_v4float Function,,,,,,,,0,,,
835,%param_31 = OpVariable %_ptr_Function_uint Function,,,,,,,,0,,,
836,%param_32 = OpVariable %_ptr_Function_v2float Function,,,,,,,,0,,,
837,%param_33 = OpVariable %_ptr_Function_v2float Function,,,,,,,,0,,,
838,%1181 = OpExtInst %void %1 DebugScope %196,,,,,,,,0,,,
839,%1182 = OpExtInst %void %1 DebugLine %38 %uint_19 %uint_19 %uint_0 %uint_0,,,,,,,,0,,,
